"all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"casual","domingo",2451.69925702595
"member","domingo",775.214684663719
"casual","quarta-feira",2445.19547889716
"member","quarta-feira",670.221926844878
"casual","quinta-feira",2116.28458831809
"member","quinta-feira",663.471409059322
"casual","sábado",2336.20423375075
"member","sábado",747.461958169142
"casual","segunda-feira",2065.58915424672
"member","segunda-feira",665.513861843476
"casual","sexta-feira",2216.98055207026
"member","sexta-feira",664.604542690871
"casual","terça-feira",2133.80790340285
"member","terça-feira",678.105991683862
